Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A_4:Z],I[A_5:Z],I[A_6:Z],I[A_7:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A0:A4],I[A0:A5],I[A0:A6],I[A0:A7],I[A1:A2],I[A1:A3],I[A1:A4],I[A1:A5],I[A1:A6],I[A1:A7],I[A2:A3],I[A2:A4],I[A2:A5],I[A2:A6],I[A2:A7],I[A3:A4],I[A3:A5],I[A3:A6],I[A3:A7],I[A4:A5],I[A4:A6],I[A4:A7],I[A5:A6],I[A5:A7],I[A6:A7]
0,0.79,4.85,4.852,5.543,5.544,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0
100,0.861,0.298,4.852,0.291,4.845,0.216,0.664,0.65,0.643,0.64,0.649,0.665,0.649,0.662,0.0,0.004,0.002,0.003,0.002,0.0,0.007,0.0,0.011,0.005,0.015,0.014,0.001,0.013,0.024,0.001,0.001,0.0,0.002,0.033,0.045,0.011,0.002,0.001,0.0,0.0,0.008,0.009
200,0.91,0.165,4.852,0.132,4.82,0.183,0.686,0.673,0.667,0.65,0.663,0.683,0.679,0.675,0.001,0.001,0.002,0.005,0.002,0.0,0.007,0.0,0.011,0.006,0.012,0.014,0.001,0.007,0.013,0.002,0.0,0.0,0.002,0.023,0.04,0.017,0.001,0.001,0.001,0.0,0.006,0.008
300,0.945,0.093,4.852,0.073,4.832,0.171,0.688,0.677,0.68,0.679,0.67,0.686,0.683,0.677,0.001,0.0,0.001,0.004,0.002,0.0,0.006,0.0,0.014,0.008,0.012,0.014,0.001,0.004,0.013,0.003,0.0,0.0,0.002,0.015,0.044,0.011,0.0,0.002,0.0,0.0,0.006,0.008
400,0.953,0.08,4.852,0.059,4.831,0.173,0.689,0.679,0.683,0.681,0.672,0.687,0.685,0.678,0.001,0.0,0.001,0.004,0.002,0.0,0.006,0.0,0.014,0.007,0.012,0.014,0.001,0.003,0.015,0.004,0.0,0.0,0.002,0.015,0.045,0.011,0.0,0.002,0.0,0.0,0.006,0.009
500,0.953,0.079,4.852,0.052,4.825,0.173,0.689,0.68,0.684,0.681,0.673,0.688,0.686,0.68,0.001,0.0,0.001,0.004,0.002,0.0,0.006,0.0,0.014,0.007,0.012,0.014,0.001,0.003,0.015,0.004,0.0,0.0,0.002,0.015,0.045,0.011,0.0,0.002,0.0,0.0,0.006,0.009
600,0.953,0.078,4.852,0.047,4.821,0.173,0.689,0.68,0.685,0.682,0.674,0.688,0.687,0.681,0.001,0.0,0.001,0.004,0.002,0.0,0.006,0.0,0.015,0.007,0.012,0.014,0.001,0.003,0.015,0.004,0.0,0.0,0.002,0.014,0.045,0.012,0.0,0.002,0.0,0.0,0.006,0.009
700,0.968,0.057,4.852,0.044,4.839,0.165,0.689,0.68,0.686,0.682,0.676,0.688,0.687,0.682,0.001,0.0,0.001,0.002,0.001,0.0,0.006,0.0,0.015,0.006,0.01,0.014,0.001,0.003,0.012,0.003,0.0,0.0,0.003,0.017,0.045,0.012,0.0,0.001,0.0,0.0,0.004,0.009
800,0.984,0.03,4.852,0.039,4.861,0.154,0.689,0.683,0.687,0.683,0.677,0.69,0.687,0.683,0.001,0.0,0.001,0.002,0.002,0.0,0.006,0.0,0.012,0.004,0.006,0.011,0.0,0.003,0.012,0.004,0.0,0.0,0.003,0.014,0.045,0.012,0.0,0.001,0.0,0.0,0.003,0.009
900,0.984,0.03,4.852,0.038,4.86,0.154,0.689,0.683,0.688,0.682,0.678,0.69,0.687,0.683,0.001,0.0,0.001,0.002,0.002,0.0,0.006,0.0,0.012,0.004,0.006,0.011,0.0,0.003,0.012,0.004,0.0,0.0,0.003,0.014,0.045,0.012,0.0,0.001,0.0,0.0,0.003,0.009
1000,0.991,0.019,4.852,0.037,4.87,0.148,0.689,0.684,0.688,0.682,0.678,0.69,0.687,0.682,0.001,0.0,0.001,0.002,0.002,0.0,0.004,0.0,0.012,0.004,0.006,0.011,0.001,0.003,0.012,0.004,0.0,0.0,0.003,0.014,0.045,0.01,0.0,0.001,0.001,0.0,0.002,0.007
1100,0.992,0.019,4.852,0.037,4.87,0.147,0.689,0.684,0.688,0.681,0.678,0.69,0.687,0.682,0.001,0.0,0.001,0.002,0.002,0.0,0.004,0.0,0.012,0.004,0.006,0.011,0.001,0.003,0.012,0.004,0.0,0.0,0.003,0.014,0.044,0.01,0.0,0.001,0.001,0.0,0.002,0.007
1200,0.992,0.019,4.852,0.037,4.87,0.147,0.69,0.684,0.688,0.681,0.678,0.69,0.687,0.682,0.001,0.0,0.001,0.002,0.002,0.0,0.004,0.0,0.012,0.004,0.006,0.011,0.001,0.003,0.012,0.004,0.0,0.0,0.003,0.014,0.044,0.01,0.0,0.001,0.001,0.0,0.002,0.007
1300,0.992,0.018,4.852,0.037,4.871,0.147,0.69,0.684,0.689,0.68,0.678,0.69,0.687,0.682,0.001,0.0,0.001,0.002,0.002,0.0,0.004,0.0,0.012,0.004,0.006,0.011,0.001,0.003,0.012,0.004,0.0,0.0,0.003,0.014,0.044,0.01,0.0,0.001,0.001,0.0,0.002,0.007
1400,0.992,0.018,4.852,0.038,4.872,0.146,0.69,0.684,0.689,0.68,0.678,0.69,0.687,0.682,0.001,0.0,0.001,0.002,0.002,0.0,0.004,0.0,0.012,0.004,0.006,0.011,0.001,0.003,0.012,0.004,0.0,0.0,0.003,0.014,0.044,0.009,0.0,0.001,0.001,0.0,0.002,0.007
1500,0.992,0.018,4.852,0.039,4.873,0.146,0.69,0.684,0.689,0.678,0.678,0.69,0.687,0.682,0.001,0.0,0.001,0.002,0.002,0.0,0.004,0.0,0.012,0.004,0.006,0.011,0.001,0.003,0.012,0.004,0.0,0.0,0.003,0.014,0.044,0.009,0.0,0.001,0.001,0.0,0.002,0.007
1600,0.992,0.018,4.852,0.042,4.876,0.143,0.689,0.684,0.689,0.676,0.678,0.69,0.687,0.682,0.001,0.0,0.001,0.002,0.002,0.0,0.004,0.0,0.011,0.004,0.006,0.011,0.001,0.003,0.012,0.004,0.0,0.0,0.004,0.013,0.043,0.009,0.0,0.001,0.001,0.0,0.002,0.007
1700,0.992,0.018,4.852,0.039,4.873,0.135,0.689,0.684,0.689,0.679,0.678,0.69,0.687,0.682,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.01,0.004,0.006,0.011,0.001,0.002,0.012,0.004,0.0,0.0,0.005,0.012,0.04,0.008,0.0,0.001,0.001,0.0,0.002,0.007
1800,0.991,0.018,4.852,0.038,4.873,0.134,0.689,0.684,0.689,0.679,0.678,0.69,0.687,0.681,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.009,0.004,0.006,0.011,0.001,0.002,0.012,0.004,0.0,0.0,0.005,0.011,0.039,0.008,0.0,0.001,0.001,0.0,0.002,0.007
1900,0.992,0.018,4.852,0.04,4.875,0.132,0.689,0.684,0.689,0.678,0.678,0.69,0.687,0.681,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.009,0.004,0.006,0.011,0.001,0.002,0.012,0.004,0.0,0.0,0.004,0.011,0.038,0.008,0.0,0.001,0.001,0.0,0.002,0.007
2000,0.992,0.018,4.852,0.037,4.871,0.127,0.689,0.684,0.689,0.681,0.678,0.689,0.687,0.681,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.008,0.004,0.006,0.011,0.001,0.001,0.012,0.004,0.0,0.0,0.003,0.01,0.035,0.009,0.0,0.001,0.001,0.0,0.002,0.007
2100,0.992,0.018,4.852,0.036,4.87,0.126,0.689,0.684,0.689,0.683,0.678,0.689,0.687,0.681,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.008,0.004,0.006,0.011,0.001,0.001,0.012,0.004,0.0,0.0,0.003,0.009,0.035,0.01,0.0,0.001,0.001,0.0,0.002,0.007
2200,0.992,0.018,4.852,0.036,4.87,0.126,0.689,0.684,0.689,0.683,0.678,0.689,0.687,0.681,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.008,0.004,0.006,0.011,0.001,0.001,0.012,0.004,0.0,0.0,0.003,0.009,0.035,0.01,0.0,0.001,0.001,0.0,0.002,0.007
2300,0.992,0.018,4.852,0.036,4.87,0.126,0.689,0.684,0.689,0.683,0.678,0.689,0.687,0.681,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.008,0.004,0.006,0.011,0.001,0.001,0.012,0.004,0.0,0.0,0.003,0.009,0.035,0.01,0.0,0.001,0.001,0.0,0.002,0.007
2400,0.992,0.018,4.852,0.036,4.871,0.126,0.689,0.684,0.689,0.683,0.678,0.689,0.687,0.681,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.008,0.004,0.006,0.011,0.001,0.001,0.012,0.004,0.0,0.0,0.003,0.009,0.035,0.01,0.0,0.001,0.001,0.0,0.002,0.007
2500,0.992,0.018,4.852,0.036,4.871,0.126,0.689,0.684,0.689,0.683,0.678,0.689,0.687,0.681,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.008,0.004,0.006,0.011,0.001,0.001,0.012,0.004,0.0,0.0,0.003,0.009,0.035,0.01,0.0,0.001,0.001,0.0,0.002,0.007
2600,0.992,0.018,4.852,0.037,4.871,0.126,0.689,0.684,0.689,0.683,0.678,0.689,0.687,0.681,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.008,0.004,0.006,0.011,0.001,0.001,0.012,0.004,0.0,0.0,0.003,0.009,0.035,0.01,0.0,0.001,0.001,0.0,0.002,0.007
2700,0.992,0.018,4.852,0.037,4.872,0.125,0.689,0.684,0.689,0.682,0.678,0.689,0.687,0.681,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.008,0.004,0.006,0.011,0.001,0.001,0.012,0.004,0.0,0.0,0.003,0.009,0.035,0.009,0.0,0.001,0.001,0.0,0.002,0.007
2800,0.991,0.018,4.841,0.038,4.873,0.125,0.689,0.684,0.689,0.681,0.678,0.689,0.687,0.68,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.008,0.004,0.006,0.011,0.001,0.001,0.012,0.004,0.0,0.0,0.003,0.009,0.035,0.009,0.0,0.001,0.001,0.0,0.002,0.007
2900,0.991,0.018,4.841,0.04,4.875,0.12,0.689,0.684,0.689,0.679,0.678,0.689,0.687,0.68,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.007,0.004,0.006,0.011,0.001,0.001,0.012,0.004,0.0,0.0,0.003,0.008,0.033,0.009,0.0,0.001,0.001,0.0,0.002,0.007
3000,0.992,0.017,4.852,0.035,4.87,0.115,0.689,0.684,0.689,0.684,0.678,0.689,0.687,0.681,0.001,0.0,0.001,0.002,0.002,0.0,0.004,0.0,0.006,0.004,0.006,0.011,0.001,0.001,0.012,0.004,0.0,0.0,0.002,0.008,0.031,0.008,0.0,0.001,0.001,0.0,0.002,0.007
3100,0.992,0.017,4.841,0.035,4.87,0.115,0.689,0.684,0.689,0.685,0.678,0.689,0.687,0.681,0.001,0.0,0.001,0.002,0.002,0.0,0.004,0.0,0.006,0.004,0.006,0.011,0.001,0.001,0.012,0.004,0.0,0.0,0.002,0.008,0.031,0.008,0.0,0.001,0.001,0.0,0.002,0.007
3200,0.992,0.017,4.841,0.035,4.87,0.115,0.689,0.684,0.689,0.685,0.678,0.689,0.687,0.681,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.006,0.004,0.006,0.011,0.001,0.001,0.012,0.004,0.0,0.0,0.002,0.008,0.031,0.008,0.001,0.001,0.001,0.0,0.002,0.007
3300,0.992,0.017,4.852,0.035,4.87,0.115,0.689,0.684,0.689,0.684,0.678,0.689,0.687,0.681,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.006,0.004,0.006,0.011,0.001,0.001,0.012,0.004,0.0,0.0,0.002,0.008,0.031,0.008,0.001,0.001,0.001,0.0,0.002,0.007
3400,0.992,0.017,4.852,0.036,4.87,0.115,0.689,0.684,0.689,0.684,0.678,0.689,0.687,0.681,0.001,0.0,0.0,0.002,0.002,0.0,0.004,0.0,0.006,0.004,0.006,0.011,0.001,0.0,0.012,0.004,0.0,0.0,0.002,0.008,0.031,0.008,0.001,0.001,0.001,0.0,0.002,0.007
