Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A0:A1]
0,0.634,5.545,5.545,5.544,5.545,0.0,0.0,0.0,0.0
100,0.291,1.98,5.545,0.551,4.116,1.163,2.352,2.409,1.163
200,0.332,1.418,5.545,0.028,4.155,1.131,2.562,2.697,1.131
300,0.336,1.408,5.545,0.024,4.161,1.124,2.563,2.698,1.124
400,0.34,1.402,5.545,0.024,4.168,1.12,2.563,2.7,1.12
500,0.341,1.401,5.545,0.026,4.17,1.118,2.563,2.7,1.118
600,0.348,1.379,5.545,0.026,4.192,1.096,2.564,2.698,1.096
700,0.356,1.357,5.545,0.031,4.219,1.073,2.564,2.697,1.073
800,0.357,1.355,5.545,0.026,4.217,1.076,2.568,2.698,1.076
900,0.357,1.354,5.545,0.027,4.218,1.075,2.568,2.698,1.075
1000,0.356,1.354,5.545,0.027,4.218,1.075,2.568,2.698,1.075
1100,0.357,1.354,5.545,0.027,4.219,1.074,2.568,2.698,1.074
1200,0.357,1.353,5.545,0.027,4.219,1.074,2.568,2.698,1.074
1300,0.356,1.353,5.534,0.027,4.219,1.074,2.568,2.697,1.074
1400,0.357,1.353,5.521,0.027,4.219,1.073,2.568,2.697,1.073
1500,0.357,1.353,5.484,0.027,4.22,1.073,2.568,2.697,1.073
1600,0.357,1.353,5.388,0.028,4.22,1.073,2.568,2.697,1.073
1700,0.357,1.353,5.39,0.028,4.22,1.073,2.568,2.697,1.073
1800,0.357,1.353,5.223,0.028,4.22,1.072,2.568,2.697,1.072
1900,0.357,1.353,5.217,0.028,4.22,1.072,2.568,2.697,1.072
2000,0.357,1.353,5.232,0.028,4.221,1.072,2.568,2.697,1.072
2100,0.357,1.353,5.138,0.028,4.221,1.072,2.568,2.697,1.072
2200,0.357,1.353,4.98,0.028,4.221,1.072,2.568,2.697,1.072
2300,0.357,1.353,4.972,0.028,4.221,1.072,2.567,2.697,1.072
2400,0.357,1.353,4.777,0.029,4.221,1.071,2.567,2.697,1.071
2500,0.357,1.353,4.8,0.029,4.221,1.071,2.567,2.697,1.071
2600,0.358,1.353,4.706,0.029,4.221,1.071,2.567,2.696,1.071
2700,0.357,1.353,4.62,0.029,4.221,1.071,2.567,2.696,1.071
2800,0.357,1.353,4.662,0.029,4.222,1.071,2.567,2.696,1.071
2900,0.358,1.353,4.521,0.029,4.222,1.071,2.567,2.696,1.071
3000,0.357,1.353,4.403,0.029,4.222,1.071,2.567,2.696,1.071
3100,0.357,1.353,4.449,0.029,4.222,1.071,2.567,2.696,1.071
3200,0.357,1.353,4.529,0.029,4.222,1.071,2.567,2.696,1.071
3300,0.357,1.353,4.372,0.029,4.222,1.071,2.567,2.696,1.071
3400,0.357,1.353,4.348,0.029,4.222,1.071,2.567,2.696,1.071
3500,0.357,1.353,4.368,0.029,4.222,1.071,2.567,2.696,1.071
3600,0.357,1.353,4.356,0.029,4.222,1.071,2.567,2.696,1.071
3700,0.357,1.353,4.344,0.029,4.222,1.071,2.567,2.696,1.071
3800,0.357,1.353,4.306,0.029,4.222,1.071,2.567,2.696,1.071
3900,0.357,1.353,4.321,0.029,4.222,1.071,2.567,2.696,1.071
4000,0.356,1.353,4.375,0.029,4.222,1.071,2.567,2.696,1.071
4100,0.357,1.353,4.351,0.029,4.222,1.07,2.567,2.696,1.07
4200,0.357,1.353,4.376,0.029,4.222,1.07,2.567,2.696,1.07
4300,0.357,1.353,4.345,0.03,4.222,1.07,2.567,2.696,1.07
4400,0.357,1.353,4.323,0.03,4.222,1.07,2.567,2.696,1.07
4500,0.357,1.353,4.362,0.03,4.222,1.07,2.567,2.696,1.07
4600,0.357,1.353,4.331,0.03,4.222,1.07,2.566,2.696,1.07
4700,0.357,1.353,4.26,0.03,4.222,1.07,2.566,2.696,1.07
4800,0.357,1.353,4.31,0.03,4.223,1.07,2.566,2.696,1.07
4900,0.357,1.353,4.385,0.031,4.223,1.069,2.565,2.696,1.069
5000,0.357,1.353,4.369,0.034,4.226,1.063,2.56,2.696,1.063
5100,0.357,1.353,4.424,0.029,4.222,1.055,2.551,2.696,1.055
5200,0.357,1.353,4.357,0.029,4.222,1.055,2.551,2.696,1.055
5300,0.358,1.353,4.261,0.029,4.222,1.055,2.551,2.696,1.055
5400,0.357,1.353,4.332,0.029,4.222,1.055,2.551,2.696,1.055
5500,0.357,1.353,4.339,0.029,4.222,1.055,2.551,2.696,1.055
5600,0.357,1.353,4.277,0.029,4.222,1.055,2.551,2.696,1.055
5700,0.357,1.353,4.338,0.029,4.222,1.055,2.551,2.696,1.055
5800,0.357,1.353,4.295,0.029,4.222,1.055,2.551,2.696,1.055
5900,0.357,1.353,4.322,0.029,4.222,1.055,2.551,2.696,1.055
6000,0.357,1.353,4.276,0.029,4.222,1.055,2.551,2.696,1.055
6100,0.357,1.353,4.278,0.029,4.222,1.055,2.551,2.696,1.055
6200,0.357,1.353,4.261,0.029,4.222,1.055,2.551,2.696,1.055
6300,0.357,1.353,4.276,0.029,4.222,1.055,2.551,2.696,1.055
6400,0.358,1.353,4.26,0.029,4.222,1.055,2.551,2.696,1.055
6500,0.357,1.353,4.244,0.029,4.222,1.055,2.551,2.696,1.055
6600,0.357,1.353,4.214,0.029,4.222,1.055,2.551,2.696,1.055
6700,0.358,1.353,4.277,0.029,4.222,1.055,2.551,2.696,1.055
6800,0.357,1.353,4.309,0.029,4.222,1.055,2.551,2.696,1.055
6900,0.358,1.353,4.245,0.029,4.222,1.055,2.551,2.696,1.055
