A0_0,A0_1,A0_2,A0_3,A0_4,A0_5,A0_6,A0_7,A0_8,A0_9,A0_10,A0_11,A0_12,A0_13,A0_14,A0_15,A1_0,A1_1,A1_2,A1_3,A1_4,A1_5,A1_6,A1_7,A1_8,A1_9,A1_10,A1_11,A1_12,A1_13,A1_14,A1_15
0.061,0.063,0.063,0.061,0.064,0.06,0.063,0.063,0.064,0.059,0.063,0.065,0.062,0.063,0.064,0.063,0.061,0.058,0.061,0.063,0.064,0.064,0.062,0.061,0.063,0.063,0.063,0.062,0.062,0.063,0.066,0.064
0.0,0.06,0.106,0.015,0.07,0.111,0.06,0.062,0.102,0.089,0.035,0.059,0.062,0.033,0.008,0.127,0.047,0.069,0.054,0.088,0.049,0.085,0.022,0.067,0.067,0.034,0.077,0.05,0.095,0.091,0.041,0.063
0.0,0.059,0.105,0.02,0.074,0.109,0.055,0.063,0.102,0.09,0.035,0.059,0.059,0.043,0.008,0.121,0.051,0.074,0.051,0.086,0.043,0.086,0.023,0.074,0.066,0.035,0.074,0.051,0.09,0.098,0.035,0.063
0.0,0.059,0.105,0.02,0.074,0.109,0.055,0.063,0.102,0.09,0.035,0.059,0.059,0.043,0.008,0.121,0.051,0.074,0.051,0.086,0.043,0.086,0.023,0.074,0.062,0.035,0.078,0.051,0.09,0.098,0.035,0.063
0.0,0.059,0.105,0.02,0.074,0.109,0.055,0.063,0.102,0.09,0.035,0.059,0.059,0.043,0.008,0.121,0.055,0.074,0.051,0.086,0.043,0.086,0.023,0.074,0.062,0.035,0.078,0.051,0.09,0.094,0.035,0.063
0.0,0.059,0.105,0.02,0.074,0.109,0.055,0.063,0.102,0.09,0.035,0.059,0.059,0.043,0.008,0.121,0.055,0.074,0.051,0.086,0.043,0.086,0.023,0.074,0.062,0.035,0.078,0.051,0.09,0.094,0.035,0.063
0.0,0.059,0.105,0.02,0.078,0.109,0.055,0.062,0.102,0.09,0.035,0.059,0.059,0.043,0.008,0.117,0.055,0.074,0.051,0.09,0.043,0.086,0.023,0.074,0.059,0.035,0.078,0.051,0.09,0.094,0.035,0.063
0.0,0.06,0.102,0.02,0.078,0.105,0.055,0.066,0.102,0.092,0.035,0.059,0.059,0.043,0.008,0.117,0.055,0.074,0.051,0.09,0.043,0.086,0.023,0.074,0.059,0.035,0.078,0.051,0.09,0.094,0.035,0.063
0.0,0.062,0.102,0.02,0.078,0.105,0.055,0.066,0.102,0.09,0.035,0.059,0.059,0.043,0.008,0.117,0.055,0.074,0.051,0.09,0.043,0.086,0.023,0.074,0.059,0.035,0.078,0.051,0.09,0.094,0.035,0.062
0.0,0.063,0.102,0.02,0.078,0.105,0.055,0.066,0.102,0.09,0.035,0.059,0.059,0.043,0.008,0.117,0.055,0.074,0.051,0.09,0.043,0.086,0.023,0.074,0.059,0.035,0.078,0.051,0.09,0.094,0.035,0.062
0.0,0.063,0.102,0.02,0.078,0.105,0.055,0.066,0.102,0.09,0.035,0.059,0.059,0.043,0.008,0.117,0.055,0.074,0.051,0.09,0.043,0.086,0.023,0.074,0.059,0.035,0.078,0.051,0.09,0.094,0.035,0.062
0.0,0.063,0.102,0.02,0.078,0.105,0.055,0.066,0.102,0.09,0.035,0.059,0.059,0.043,0.008,0.117,0.055,0.074,0.051,0.09,0.043,0.086,0.023,0.074,0.059,0.035,0.078,0.051,0.09,0.094,0.035,0.062
