Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z],I[A_1:Z],I[A_2:Z],I[A_3:Z],I[A0:A1],I[A0:A2],I[A0:A3],I[A1:A2],I[A1:A3],I[A2:A3]
0,0.624,5.545,5.545,5.527,5.528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
100,0.527,5.11,5.545,4.771,5.206,0.22,0.181,0.147,0.156,0.135,0.043,0.044,0.038,0.034,0.03,0.031
200,0.343,4.348,5.545,3.043,4.24,1.795,0.496,0.598,0.67,0.56,0.299,0.296,0.274,0.327,0.288,0.311
300,0.252,3.804,5.545,1.894,3.635,2.667,0.696,0.875,1.002,0.89,0.407,0.36,0.378,0.525,0.45,0.547
400,0.21,3.361,5.545,1.263,3.447,2.876,0.862,1.028,1.152,1.063,0.451,0.349,0.46,0.573,0.479,0.564
500,0.186,2.975,5.545,0.803,3.373,2.894,0.962,1.18,1.232,1.185,0.434,0.347,0.499,0.585,0.463,0.566
600,0.181,2.692,5.545,0.517,3.37,2.897,1.031,1.281,1.285,1.272,0.439,0.35,0.507,0.593,0.452,0.555
700,0.182,2.496,5.545,0.339,3.388,2.906,1.135,1.313,1.313,1.324,0.444,0.356,0.506,0.591,0.456,0.553
800,0.191,2.331,5.545,0.189,3.402,2.881,1.249,1.326,1.326,1.338,0.438,0.348,0.513,0.589,0.446,0.546
900,0.197,2.259,5.545,0.117,3.403,2.88,1.292,1.334,1.332,1.349,0.438,0.347,0.513,0.59,0.446,0.546
1000,0.205,2.219,5.545,0.092,3.419,2.867,1.304,1.336,1.335,1.356,0.433,0.347,0.511,0.584,0.444,0.547
1100,0.208,2.191,5.545,0.077,3.431,2.858,1.309,1.34,1.337,1.36,0.432,0.347,0.505,0.582,0.442,0.55
1200,0.215,2.176,5.545,0.076,3.444,2.832,1.311,1.34,1.335,1.362,0.427,0.339,0.507,0.564,0.447,0.548
1300,0.219,2.16,5.545,0.065,3.45,2.82,1.317,1.343,1.339,1.363,0.424,0.332,0.512,0.56,0.447,0.546
1400,0.223,2.152,5.545,0.064,3.457,2.803,1.319,1.343,1.337,1.364,0.422,0.332,0.512,0.55,0.446,0.542
1500,0.235,2.124,5.545,0.063,3.484,2.738,1.319,1.344,1.337,1.363,0.402,0.328,0.512,0.531,0.437,0.528
1600,0.236,2.119,5.54,0.058,3.484,2.734,1.321,1.346,1.339,1.363,0.401,0.325,0.511,0.535,0.437,0.526
1700,0.251,2.072,5.545,0.064,3.537,2.66,1.321,1.346,1.335,1.363,0.395,0.317,0.504,0.511,0.416,0.516
1800,0.255,2.046,5.513,0.049,3.548,2.64,1.321,1.356,1.339,1.363,0.388,0.315,0.504,0.503,0.414,0.516
1900,0.255,2.044,5.453,0.047,3.548,2.639,1.322,1.358,1.339,1.364,0.388,0.315,0.504,0.503,0.414,0.516
2000,0.255,2.041,5.427,0.047,3.551,2.633,1.322,1.358,1.339,1.363,0.388,0.315,0.503,0.502,0.41,0.516
2100,0.259,2.032,5.385,0.047,3.56,2.618,1.321,1.358,1.339,1.366,0.386,0.315,0.498,0.502,0.4,0.517
2200,0.263,2.023,5.367,0.046,3.568,2.606,1.325,1.358,1.339,1.366,0.387,0.318,0.483,0.502,0.4,0.517
2300,0.267,2.01,5.27,0.046,3.581,2.59,1.325,1.358,1.337,1.366,0.387,0.318,0.483,0.494,0.399,0.509
2400,0.271,1.998,5.219,0.048,3.595,2.559,1.325,1.359,1.334,1.366,0.383,0.312,0.482,0.49,0.387,0.504
2500,0.279,1.978,5.105,0.051,3.618,2.525,1.324,1.358,1.336,1.365,0.369,0.309,0.483,0.475,0.39,0.499
2600,0.29,1.951,5.012,0.059,3.654,2.469,1.325,1.353,1.34,1.364,0.365,0.299,0.47,0.455,0.385,0.496
2700,0.3,1.93,5.227,0.058,3.674,2.421,1.322,1.356,1.341,1.364,0.364,0.294,0.445,0.446,0.378,0.495
2800,0.305,1.905,4.906,0.049,3.689,2.383,1.327,1.357,1.341,1.367,0.365,0.288,0.432,0.446,0.373,0.478
2900,0.305,1.904,4.86,0.046,3.687,2.381,1.328,1.357,1.342,1.368,0.364,0.288,0.432,0.446,0.373,0.478
3000,0.306,1.903,4.795,0.047,3.69,2.377,1.327,1.357,1.342,1.368,0.364,0.287,0.431,0.446,0.372,0.478
3100,0.313,1.88,4.851,0.047,3.712,2.345,1.326,1.357,1.342,1.369,0.364,0.286,0.412,0.446,0.364,0.472
3200,0.313,1.879,4.532,0.045,3.712,2.344,1.327,1.357,1.342,1.369,0.365,0.287,0.412,0.446,0.363,0.472
3300,0.315,1.877,4.673,0.047,3.716,2.339,1.327,1.357,1.342,1.366,0.365,0.286,0.411,0.446,0.365,0.466
3400,0.326,1.852,4.696,0.046,3.739,2.289,1.327,1.357,1.34,1.366,0.365,0.283,0.394,0.439,0.36,0.449
3500,0.329,1.843,4.626,0.043,3.744,2.273,1.328,1.357,1.342,1.366,0.365,0.279,0.393,0.431,0.359,0.446
3600,0.337,1.819,4.716,0.045,3.771,2.224,1.328,1.356,1.338,1.366,0.364,0.271,0.393,0.412,0.357,0.426
3700,0.34,1.809,4.55,0.044,3.781,2.197,1.328,1.355,1.341,1.366,0.363,0.273,0.393,0.403,0.344,0.422
3800,0.34,1.806,4.618,0.04,3.778,2.2,1.328,1.357,1.343,1.366,0.363,0.273,0.393,0.406,0.344,0.422
3900,0.34,1.806,4.551,0.039,3.778,2.2,1.328,1.357,1.343,1.366,0.363,0.273,0.393,0.406,0.344,0.422
4000,0.343,1.801,4.54,0.042,3.787,2.183,1.324,1.357,1.343,1.366,0.358,0.268,0.387,0.406,0.343,0.422
4100,0.348,1.782,4.34,0.038,3.802,2.162,1.328,1.357,1.346,1.366,0.354,0.265,0.382,0.39,0.344,0.426
4200,0.352,1.774,4.368,0.039,3.81,2.141,1.329,1.357,1.346,1.366,0.351,0.262,0.367,0.39,0.344,0.426
4300,0.356,1.76,4.336,0.038,3.822,2.116,1.33,1.357,1.346,1.364,0.35,0.263,0.358,0.39,0.334,0.421
4400,0.356,1.76,4.279,0.036,3.821,2.118,1.331,1.358,1.346,1.365,0.35,0.263,0.358,0.39,0.334,0.421
