A0_0,A0_1,A0_2,A0_3,A1_0,A1_1,A1_2,A1_3,A2_0,A2_1,A2_2,A2_3,A3_0,A3_1,A3_2,A3_3
0.232,0.23,0.245,0.293,0.227,0.272,0.231,0.27,0.25,0.287,0.254,0.208,0.229,0.276,0.255,0.24
0.27,0.179,0.335,0.216,0.276,0.185,0.199,0.34,0.132,0.416,0.235,0.218,0.184,0.323,0.178,0.315
0.305,0.164,0.344,0.187,0.285,0.206,0.167,0.342,0.195,0.369,0.148,0.288,0.149,0.309,0.204,0.338
0.302,0.208,0.36,0.13,0.305,0.182,0.188,0.326,0.208,0.358,0.149,0.285,0.146,0.304,0.216,0.335
0.338,0.234,0.342,0.086,0.282,0.171,0.211,0.337,0.222,0.346,0.171,0.261,0.187,0.265,0.241,0.307
0.353,0.24,0.335,0.072,0.235,0.176,0.252,0.337,0.225,0.341,0.17,0.264,0.193,0.262,0.258,0.287
0.34,0.241,0.333,0.086,0.236,0.176,0.253,0.335,0.223,0.333,0.179,0.265,0.195,0.264,0.257,0.284
0.308,0.241,0.334,0.117,0.24,0.176,0.254,0.33,0.222,0.334,0.178,0.265,0.192,0.266,0.254,0.289
0.303,0.241,0.33,0.125,0.24,0.176,0.254,0.33,0.222,0.337,0.176,0.265,0.187,0.27,0.254,0.289
0.308,0.242,0.329,0.122,0.241,0.176,0.254,0.329,0.222,0.337,0.176,0.265,0.188,0.27,0.254,0.288
0.308,0.242,0.328,0.121,0.241,0.176,0.25,0.333,0.221,0.338,0.176,0.265,0.191,0.27,0.253,0.286
0.308,0.242,0.328,0.121,0.241,0.176,0.25,0.333,0.221,0.338,0.176,0.265,0.191,0.27,0.25,0.289
0.308,0.242,0.327,0.122,0.241,0.176,0.254,0.33,0.22,0.336,0.176,0.268,0.191,0.27,0.25,0.289
0.308,0.242,0.325,0.125,0.241,0.176,0.254,0.328,0.219,0.336,0.176,0.269,0.191,0.27,0.25,0.289
0.308,0.242,0.324,0.125,0.242,0.176,0.254,0.328,0.218,0.336,0.174,0.271,0.191,0.27,0.25,0.289
0.309,0.242,0.324,0.125,0.249,0.176,0.254,0.32,0.215,0.339,0.172,0.275,0.191,0.27,0.25,0.289
0.309,0.242,0.324,0.125,0.25,0.176,0.254,0.32,0.215,0.34,0.172,0.273,0.191,0.27,0.25,0.29
0.308,0.242,0.325,0.125,0.251,0.184,0.254,0.311,0.212,0.344,0.172,0.273,0.191,0.27,0.246,0.293
0.308,0.242,0.324,0.125,0.254,0.184,0.254,0.308,0.211,0.344,0.172,0.273,0.191,0.27,0.246,0.293
0.309,0.242,0.324,0.125,0.254,0.184,0.254,0.309,0.211,0.344,0.172,0.274,0.191,0.27,0.246,0.293
