A0_0,A0_1,A0_2,A0_3,A0_4,A0_5,A0_6,A0_7,A0_8,A0_9,A0_10,A0_11,A0_12,A0_13,A0_14,A0_15,A0_16,A0_17,A0_18,A0_19,A0_20,A0_21,A0_22,A0_23,A0_24,A0_25,A0_26,A0_27,A0_28,A0_29,A0_30,A0_31,A0_32,A0_33,A0_34,A0_35,A0_36,A0_37,A0_38,A0_39,A0_40,A0_41,A0_42,A0_43,A0_44,A0_45,A0_46,A0_47,A0_48,A0_49,A0_50,A0_51,A0_52,A0_53,A0_54,A0_55,A0_56,A0_57,A0_58,A0_59,A0_60,A0_61,A0_62,A0_63,A0_64,A0_65,A0_66,A0_67,A0_68,A0_69,A0_70,A0_71,A0_72,A0_73,A0_74,A0_75,A0_76,A0_77,A0_78,A0_79,A0_80,A0_81,A0_82,A0_83,A0_84,A0_85,A0_86,A0_87,A0_88,A0_89,A0_90,A0_91,A0_92,A0_93,A0_94,A0_95,A0_96,A0_97,A0_98,A0_99,A0_100,A0_101,A0_102,A0_103,A0_104,A0_105,A0_106,A0_107,A0_108,A0_109,A0_110,A0_111,A0_112,A0_113,A0_114,A0_115,A0_116,A0_117,A0_118,A0_119,A0_120,A0_121,A0_122,A0_123,A0_124,A0_125,A0_126,A0_127,A0_128,A0_129,A0_130,A0_131,A0_132,A0_133,A0_134,A0_135,A0_136,A0_137,A0_138,A0_139,A0_140,A0_141,A0_142,A0_143,A0_144,A0_145,A0_146,A0_147,A0_148,A0_149,A0_150,A0_151,A0_152,A0_153,A0_154,A0_155,A0_156,A0_157,A0_158,A0_159,A0_160,A0_161,A0_162,A0_163,A0_164,A0_165,A0_166,A0_167,A0_168,A0_169,A0_170,A0_171,A0_172,A0_173,A0_174,A0_175,A0_176,A0_177,A0_178,A0_179,A0_180,A0_181,A0_182,A0_183,A0_184,A0_185,A0_186,A0_187,A0_188,A0_189,A0_190,A0_191,A0_192,A0_193,A0_194,A0_195,A0_196,A0_197,A0_198,A0_199,A0_200,A0_201,A0_202,A0_203,A0_204,A0_205,A0_206,A0_207,A0_208,A0_209,A0_210,A0_211,A0_212,A0_213,A0_214,A0_215,A0_216,A0_217,A0_218,A0_219,A0_220,A0_221,A0_222,A0_223,A0_224,A0_225,A0_226,A0_227,A0_228,A0_229,A0_230,A0_231,A0_232,A0_233,A0_234,A0_235,A0_236,A0_237,A0_238,A0_239,A0_240,A0_241,A0_242,A0_243,A0_244,A0_245,A0_246,A0_247,A0_248,A0_249,A0_250,A0_251,A0_252,A0_253,A0_254,A0_255
0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.004,0.004,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.005,0.004,0.004,0.003,0.004,0.004,0.004,0.003,0.004,0.004,0.004,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
0.0,0.001,0.001,0.002,0.002,0.002,0.024,0.003,0.0,0.009,0.005,0.0,0.007,0.011,0.006,0.002,0.002,0.0,0.007,0.001,0.002,0.008,0.006,0.0,0.002,0.002,0.0,0.003,0.002,0.006,0.017,0.002,0.001,0.001,0.0,0.001,0.001,0.0,0.0,0.002,0.005,0.002,0.009,0.006,0.001,0.001,0.005,0.0,0.001,0.0,0.002,0.007,0.001,0.007,0.004,0.009,0.001,0.005,0.001,0.008,0.005,0.002,0.0,0.001,0.001,0.002,0.001,0.004,0.004,0.002,0.009,0.0,0.008,0.004,0.004,0.002,0.0,0.011,0.003,0.0,0.008,0.002,0.002,0.005,0.002,0.003,0.001,0.003,0.002,0.001,0.023,0.002,0.001,0.003,0.005,0.0,0.0,0.002,0.0,0.001,0.006,0.0,0.029,0.0,0.001,0.001,0.006,0.004,0.001,0.001,0.001,0.0,0.005,0.001,0.004,0.0,0.006,0.002,0.002,0.005,0.003,0.009,0.001,0.001,0.001,0.0,0.009,0.014,0.0,0.001,0.002,0.001,0.009,0.001,0.0,0.018,0.004,0.018,0.004,0.002,0.0,0.0,0.002,0.002,0.001,0.001,0.016,0.001,0.003,0.007,0.008,0.0,0.002,0.003,0.004,0.006,0.0,0.007,0.002,0.002,0.001,0.005,0.001,0.001,0.009,0.013,0.009,0.0,0.01,0.011,0.0,0.001,0.004,0.003,0.001,0.001,0.001,0.006,0.007,0.001,0.001,0.0,0.0,0.005,0.0,0.002,0.005,0.01,0.003,0.003,0.007,0.001,0.0,0.009,0.004,0.005,0.026,0.019,0.0,0.002,0.002,0.005,0.0,0.004,0.015,0.004,0.013,0.003,0.002,0.003,0.0,0.002,0.004,0.004,0.011,0.001,0.003,0.002,0.0,0.001,0.012,0.001,0.001,0.001,0.003,0.001,0.001,0.007,0.004,0.002,0.001,0.001,0.006,0.011,0.002,0.006,0.007,0.0,0.009,0.001,0.001,0.005,0.011,0.003,0.004,0.003,0.002,0.014,0.004,0.003,0.002,0.001,0.006,0.003,0.001,0.003
0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.001,0.03,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.001,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.001,0.0,0.031,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.006,0.0,0.03,0.0,0.0,0.0,0.0,0.025,0.001,0.0,0.022,0.0,0.0,0.024,0.0,0.001,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.005,0.002,0.014,0.0,0.0,0.0,0.0,0.031,0.029,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.031,0.0,0.02,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.006,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.031,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.001,0.026,0.0,0.0,0.001,0.0,0.0,0.001,0.001,0.004,0.031,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.031,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.001,0.011,0.0,0.003,0.014,0.0,0.029,0.0,0.0,0.025,0.025,0.001,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.031,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.028,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.016,0.0,0.0,0.0,0.0,0.031,0.031,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.031,0.0,0.023,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.031,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.001,0.008,0.0,0.001,0.018,0.0,0.031,0.0,0.0,0.029,0.028,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.031,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.02,0.0,0.0,0.0,0.0,0.031,0.031,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.031,0.0,0.026,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.022,0.0,0.031,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.031,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.031,0.031,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.031,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.026,0.0,0.031,0.0,0.0,0.031,0.031,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.031,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.031,0.031,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.031,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.029,0.0,0.031,0.0,0.0,0.031,0.031,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.031,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.031,0.031,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.031,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.03,0.0,0.031,0.0,0.0,0.031,0.031,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.031,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.031,0.031,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.031,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.031,0.0,0.0,0.031,0.031,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.031,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.031,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.031,0.0,0.0,0.031,0.031,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
