Epochs,Acc,H[G|U],H[Z],H[U|G],H[U],sumI[A:A],I[A_0:Z]
0,0.941,3.464,3.466,5.537,5.538,0,0.002
100,0.945,3.395,3.466,5.46,5.531,0,0.074
200,0.923,2.385,3.466,4.272,5.352,0,1.095
300,0.876,1.182,3.466,2.268,4.551,0,2.291
400,0.821,0.582,3.466,0.819,3.703,0,2.887
500,0.815,0.407,3.466,0.406,3.464,0,3.06
600,0.832,0.313,3.466,0.219,3.372,0,3.153
700,0.842,0.264,3.466,0.13,3.332,0,3.202
800,0.843,0.239,3.466,0.08,3.307,0,3.227
900,0.846,0.232,3.466,0.059,3.292,0,3.234
1000,0.845,0.229,3.466,0.046,3.283,0,3.237
1100,0.845,0.227,3.466,0.037,3.276,0,3.239
1200,0.844,0.225,3.466,0.031,3.272,0,3.241
1300,0.844,0.224,3.466,0.026,3.268,0,3.242
1400,0.844,0.223,3.466,0.023,3.265,0,3.242
1500,0.844,0.223,3.466,0.02,3.263,0,3.243
1600,0.844,0.222,3.466,0.018,3.261,0,3.243
1700,0.843,0.222,3.466,0.016,3.26,0,3.244
1800,0.843,0.222,3.466,0.015,3.259,0,3.244
1900,0.844,0.222,3.466,0.013,3.258,0,3.244
2000,0.843,0.222,3.466,0.012,3.257,0,3.244
2100,0.843,0.221,3.466,0.012,3.256,0,3.244
2200,0.843,0.221,3.466,0.011,3.255,0,3.244
2300,0.844,0.221,3.466,0.011,3.255,0,3.244
2400,0.843,0.221,3.466,0.01,3.255,0,3.244
2500,0.843,0.221,3.466,0.01,3.254,0,3.244
2600,0.844,0.221,3.466,0.01,3.254,0,3.244
2700,0.843,0.221,3.466,0.009,3.254,0,3.245
2800,0.844,0.221,3.466,0.009,3.254,0,3.245
2900,0.844,0.221,3.466,0.009,3.254,0,3.245
3000,0.844,0.221,3.466,0.009,3.254,0,3.245
3100,0.844,0.221,3.466,0.009,3.254,0,3.245
3200,0.844,0.221,3.466,0.009,3.254,0,3.245
3300,0.843,0.221,3.466,0.009,3.254,0,3.245
3400,0.844,0.221,3.466,0.009,3.254,0,3.245
3500,0.844,0.221,3.466,0.009,3.254,0,3.245
3600,0.844,0.221,3.466,0.009,3.254,0,3.245
3700,0.844,0.221,3.466,0.009,3.254,0,3.245
3800,0.843,0.221,3.466,0.009,3.254,0,3.245
3900,0.844,0.221,3.466,0.009,3.254,0,3.245
4000,0.844,0.221,3.466,0.009,3.254,0,3.245
4100,0.844,0.221,3.466,0.009,3.254,0,3.245
4200,0.843,0.221,3.466,0.009,3.254,0,3.245
4300,0.843,0.221,3.466,0.009,3.254,0,3.245
4400,0.844,0.221,3.466,0.009,3.254,0,3.245
4500,0.844,0.221,3.466,0.01,3.254,0,3.245
4600,0.845,0.221,3.466,0.01,3.254,0,3.245
4700,0.844,0.221,3.466,0.01,3.255,0,3.245
4800,0.844,0.221,3.466,0.01,3.255,0,3.245
4900,0.844,0.221,3.466,0.01,3.255,0,3.245
5000,0.844,0.221,3.466,0.01,3.255,0,3.245
5100,0.844,0.221,3.466,0.01,3.255,0,3.245
5200,0.844,0.221,3.466,0.01,3.255,0,3.245
5300,0.844,0.221,3.466,0.01,3.255,0,3.245
5400,0.844,0.221,3.466,0.01,3.255,0,3.245
5500,0.844,0.221,3.466,0.01,3.255,0,3.245
5600,0.843,0.221,3.422,0.01,3.255,0,3.245
5700,0.844,0.221,3.466,0.01,3.255,0,3.245
5800,0.844,0.221,3.466,0.01,3.255,0,3.245
5900,0.844,0.221,3.466,0.01,3.255,0,3.245
6000,0.844,0.221,3.466,0.01,3.255,0,3.245
6100,0.843,0.221,3.466,0.01,3.255,0,3.245
6200,0.844,0.221,3.422,0.01,3.255,0,3.245
6300,0.844,0.221,3.422,0.01,3.255,0,3.245
6400,0.844,0.221,3.379,0.01,3.255,0,3.245
6500,0.845,0.221,3.466,0.01,3.255,0,3.245
6600,0.844,0.221,3.379,0.01,3.255,0,3.245
6700,0.844,0.221,3.336,0.01,3.255,0,3.245
6800,0.844,0.221,3.379,0.01,3.255,0,3.245
6900,0.845,0.221,3.336,0.01,3.255,0,3.245
